Timestamp,"Research Participation Consent
",How old are you? ,What is your gender? ,  Which university are you currently studying in?  ,   What program are you currently enrolled in?  ,  Which year are you currently studying in?  ,  Current GPA/CGPA  ,"On average, how many hours do you study per day (outside class)?",What is your approximate class attendance?,"How often do you feel overwhelmed by assignments, projects, and deadlines? ","How many major exams, tests, or assessments have you completed during the current semester or year? ",How many hours of sleep do you get per night? ,"On average, how much time do you spend on social media each day?",How often do you engage in physical activity or exercise?,  Part-time Job  ,"On average, what is your total daily screen time (including study and entertainment)?",How often do financial concerns related to your education cause you stress?,"When you feel stressed, how often do you have someone you trust to talk to? ","During the last month, how often have you felt nervous or stressed because of your studies?","During the last month, how often have you felt that your academic responsibilities were becoming difficult to manage?  ","During the last month, how often have you worried about your academic performance or grades?  ","During the last month, how often have you felt confident in your ability to handle academic challenges?  ","During the last month, how often have you felt that things were going well in your academic life?  ","During the last month, how often have you felt overwhelmed by the amount of work you needed to complete?","During the last month, how often have you been able to stay calm when facing academic pressure?  ","During the last month, how often have you felt in control of your studies and responsibilities?  ","During the last month, how often have you felt frustrated because of situations beyond your control?  ","During the last month, how often have you felt that your academic problems were piling up faster than you could handle them?  ","Overall, how satisfied are you with your academic life at the moment?","In your opinion, what is the biggest source of academic stress in your life, and why? ",Have you ever thought about taking a break from your studies because of academic pressure?  ,How often do concerns about your future career or employment cause you stress?,How satisfied are you with your current academic performance?
7/22/2026 14:16:45,"Yes, I agree to participate.",Above 25,Prefer not to say,Tribhuvan University,BIM,5th Year,3.5–4.0,1–2,Above 90%,4,More than 6,5–6,5–6 hours,1–2 days/week,No,6–8 hours,3,4,2,3,3,3,3,4,3,3,2,4,4,Multiple assignments ,Sometimes,5,3
7/23/2026 9:02:09,"Yes, I agree to participate.",20-22,Male,Pokhara University,BDS,3rd Year,2.0–2.49,1–2,60–70%,2,3-4,7–8,1–2 hours,1–2 days/week,Yes,3–5 hours,2,2,2,3,2,2,2,3,3,3,2,2,2,Maybe,Often,3,4
7/23/2026 9:03:18,"Yes, I agree to participate.",23-25,Female,Rajarshi Janak University,BHM,3rd Year,3.0–3.49,3–4,71–80%,1,5-6,7–8,3–4 hours,1–2 days/week,Yes,6–8 hours,2,3,3,3,3,3,3,5,3,4,4,4,3,Sometimes,Sometimes,4,3
7/23/2026 9:04:23,"Yes, I agree to participate.",23-25,Female,Pokhara University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,3,3-4,5–6,1–2 hours,1–2 days/week,No,3–5 hours,3,3,1,4,4,4,3,3,3,3,4,5,4,Yes,Sometimes,3,3
7/23/2026 9:04:35,"Yes, I agree to participate.",Above 25,Prefer not to say,Agriculture and Forestry University,BSc Nursing,2nd Year,Not Available Yet,More than 6 hours,71–80%,5,1-2,More than 8,More than 6 hours,3–4 days/week,No,More than 8 hours,3,2,2,4,4,5,5,3,2,2,2,1,2,Future ,Often,4,3
7/23/2026 9:05:31,"Yes, I agree to participate.",Above 25,Female,Sudurpaschim University,BHM,2nd Year,3.5–4.0,3–4,60–70%,3,More than 6,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,3,3,4,3,3,3,3,2,5,1,2,4,3,Ok,Sometimes,3,4
7/23/2026 9:06:10,"Yes, I agree to participate.",17-19,Female,Sudurpaschim University,Agriculture,4th Year,3.0–3.49,5–6,81–90%,3,5-6,More than 8,5–6 hours,5–6 days/week,No,6–8 hours,3,2,3,3,4,4,4,4,2,1,1,1,4,Because ,Often,2,4
7/23/2026 9:06:38,"Yes, I agree to participate.",23-25,Male,Purbanchal University,BSc CSIT,3rd Year,3.5–4.0,5–6,81–90%,4,5-6,5–6,1–2 hours,3–4 days/week,Yes,6–8 hours,3,2,3,3,3,3,4,4,4,4,4,3,2,Money,Sometimes,4,4
7/23/2026 9:07:13,"Yes, I agree to participate.",Above 25,Prefer not to say,Rajarshi Janak University,Law(LLB),5th Year,3.5–4.0,5–6,60–70%,4,5-6,7–8,1–2 hours,3–4 days/week,No,6–8 hours,3,4,4,1,1,3,4,4,1,1,3,2,2,I,Sometimes,4,2
7/23/2026 9:07:45,"Yes, I agree to participate.",Above 25,Female,Other,Agriculture,4th Year,3.5–4.0,1–2,81–90%,4,5-6,5–6,3–4 hours,5–6 days/week,Yes,Less than 3 hours,2,2,4,4,4,3,3,3,4,4,3,5,4,Financial pressure ,Sometimes,4,5
7/23/2026 9:09:03,"Yes, I agree to participate.",17-19,Male,Purbanchal University,MBBS,2nd Year,2.5–2.99,3–4,60–70%,2,3-4,7–8,1–2 hours,1–2 days/week,Yes,3–5 hours,3,2,3,3,3,3,3,3,3,3,3,3,2,Family struggle ,Very Often,4,3
7/23/2026 9:10:08,"Yes, I agree to participate.",17-19,Female,Sudurpaschim University,Law(LLB),3rd Year,3.0–3.49,3–4,60–70%,1,1-2,5–6,3–4 hours,3–4 days/week,No,6–8 hours,4,4,4,3,3,3,3,2,2,2,3,3,3,Future career,Sometimes,3,3
7/23/2026 9:11:29,"No, I do not wish to participate.",23-25,Female,Kathmandu University,BDS,3rd Year,2.5–2.99,3–4,71–80%,1,5-6,5–6,3–4 hours,1–2 days/week,Yes,6–8 hours,2,2,2,2,2,3,3,3,3,3,4,3,3,Tuition ,Sometimes,2,2
7/23/2026 9:12:23,"Yes, I agree to participate.",20-22,Female,Agriculture and Forestry University,Agriculture,4th Year,3.0–3.49,5–6,81–90%,3,3-4,5–6,1–2 hours,1–2 days/week,No,6–8 hours,2,2,2,4,4,4,4,3,3,5,4,1,2,Stress,Sometimes,3,3
7/23/2026 9:13:29,"Yes, I agree to participate.",23-25,Female,Sudurpaschim University,MBBS,3rd Year,2.5–2.99,3–4,60–70%,1,3-4,5–6,3–4 hours,3–4 days/week,Yes,3–5 hours,3,2,1,3,4,5,3,2,3,2,2,4,3,Job ,Sometimes,3,2
7/23/2026 9:14:51,"Yes, I agree to participate.",20-22,Female,Sudurpaschim University,BSc CSIT,2nd Year,2.5–2.99,1–2,71–80%,3,3-4,5–6,1–2 hours,3–4 days/week,Yes,3–5 hours,2,3,2,3,3,3,4,3,2,4,4,3,3,Financial ,Sometimes,2,2
7/23/2026 9:16:28,"Yes, I agree to participate.",20-22,Female,Rajarshi Janak University,BDS,4th Year,2.5–2.99,3–4,71–80%,3,3-4,5–6,1–2 hours,1–2 days/week,Yes,3–5 hours,2,3,2,3,3,4,3,3,4,3,4,3,3,Career,Very Often,3,3
7/23/2026 9:17:30,"Yes, I agree to participate.",23-25,Female,Sudurpaschim University,BDS,3rd Year,2.5–2.99,3–4,71–80%,2,3-4,5–6,5–6 hours,5–6 days/week,No,6–8 hours,2,1,1,1,3,2,3,2,3,3,2,2,2,Financial ,Sometimes,2,4
7/23/2026 9:19:19,"Yes, I agree to participate.",23-25,Prefer not to say,Rajarshi Janak University,BSc CSIT,4th Year,2.5–2.99,1–2,Above 90%,1,3-4,5–6,3–4 hours,3–4 days/week,No,Less than 3 hours,2,2,3,4,2,2,4,4,4,4,3,4,2,Future ,Sometimes,2,4
7/23/2026 9:20:37,"Yes, I agree to participate.",20-22,Female,Purbanchal University,MBBS,3rd Year,2.5–2.99,1–2,60–70%,2,3-4,5–6,1–2 hours,3–4 days/week,Yes,3–5 hours,1,3,3,2,4,3,3,2,4,3,3,3,2,Unsure ,Often,3,3
