Timestamp,"Research Participation Consent
I have read the information provided above and voluntarily agree to participate in this research study. I understand that my responses will be anonymous and used only for academic and research purposes.",How old are you? ,What is your gender? ,  Which university are you currently studying in?  ,   What program are you currently enrolled in?  ,  Which year are you currently studying in?  ,  Current GPA/CGPA  ,"On average, how many hours do you study per day (outside class)?",What is your approximate class attendance?,"How often do you feel overwhelmed by assignments, projects, and deadlines? ","How many major exams, tests, or assessments have you completed during the current semester or year? ",How many hours of sleep do you get per night? ,"On average, how much time do you spend on social media each day?",How often do you engage in physical activity or exercise?,  Part-time Job  ,"On average, what is your total daily screen time (including study and entertainment)?",How often do financial concerns related to your education cause you stress?,"When you feel stressed, how often do you have someone you trust to talk to? ","During the last month, how often have you felt nervous or stressed because of your studies?","During the last month, how often have you felt that your academic responsibilities were becoming difficult to manage?  ","During the last month, how often have you worried about your academic performance or grades?  ","During the last month, how often have you felt confident in your ability to handle academic challenges?  ","During the last month, how often have you felt that things were going well in your academic life?  ","During the last month, how often have you felt overwhelmed by the amount of work you needed to complete?","During the last month, how often have you been able to stay calm when facing academic pressure?  ","During the last month, how often have you felt in control of your studies and responsibilities?  ","During the last month, how often have you felt frustrated because of situations beyond your control?  ","During the last month, how often have you felt that your academic problems were piling up faster than you could handle them?  ","Overall, how satisfied are you with your academic life at the moment?","In your opinion, what is the biggest source of academic stress in your life, and why? ",Have you ever thought about taking a break from your studies because of academic pressure?  ,How often do concerns about your future career or employment cause you stress?,How satisfied are you with your current academic performance?,Data_Source
7/7/2026 10:44:28,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BBS,4th Year,3.0–3.49,Less than 1,60–70%,2,5-6,7–8,1–2 hours,5–6 days/week,Yes,More than 8 hours,1,5,2,1,2,4,5,2,3,3,1,2,3,Pressure to go abroad after graduation,Rarely,2,4,Synthetic
7/7/2026 13:32:19,"Yes, I agree to participate.",23-25,Female,Kathmandu University,MBBS,3rd Year,2.0–2.49,3–4,60–70%,4,3-4,5–6,5–6 hours,Never,No,More than 8 hours,3,3,4,4,5,2,1,5,3,2,5,3,2,Board exams,Very Often,4,2,Synthetic
7/7/2026 18:59:22,"Yes, I agree to participate.",20-22,Female,Other,BSc Nursing,2nd Year,3.5–4.0,More than 6 hours,81–90%,3,3-4,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,5,2,5,5,3,2,1,5,2,3,4,5,3,"Deadlines, family expectations to get good grades",Very Often,3,4,Synthetic
7/8/2026 2:14:55,"Yes, I agree to participate.",20-22,Male,Sudurpaschim University,BCA,4th Year,3.0–3.49,1–2,71–80%,4,3-4,7–8,Less than 1 hour,3–4 days/week,No,6–8 hours,2,3,4,4,5,2,3,5,1,1,4,4,1,Financial pressure because my family struggles to pay tuition,Sometimes,5,2,Synthetic
7/8/2026 2:36:18,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,5–6,81–90%,3,3-4,5–6,3–4 hours,Never,Yes,3–5 hours,4,1,3,5,4,3,2,5,2,3,5,5,4,Procrastination,Often,3,3,Synthetic
7/8/2026 4:52:07,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,MBBS,3rd Year,2.5–2.99,3–4,60–70%,4,1-2,5–6,3–4 hours,1–2 days/week,No,More than 8 hours,5,2,5,4,3,1,1,4,1,1,4,5,1,Deadlines,Very Often,4,3,Synthetic
7/8/2026 7:43:41,"Yes, I agree to participate.",23-25,Female,Other,BDS,4th Year,3.0–3.49,3–4,60–70%,4,More than 6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,1,5,3,4,4,2,4,2,1,4,5,3,Pressure to go abroad after graduation,Sometimes,4,4,Synthetic
7/8/2026 9:38:23,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BBS,3rd Year,3.5–4.0,5–6,60–70%,1,3-4,More than 8,5–6 hours,3–4 days/week,No,More than 8 hours,3,5,1,1,1,4,3,1,4,4,1,1,5,Frustration ,Rarely,3,5,Synthetic
7/8/2026 10:53:20,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,MBBS,1st Year,Not Available Yet,3–4,60–70%,4,5-6,5–6,3–4 hours,Never,Yes,6–8 hours,2,4,2,3,2,4,3,3,2,3,4,3,4,Money,Sometimes,3,3,Synthetic
7/8/2026 12:17:45,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BSc CSIT,4th Year,Not Available Yet,3–4,60–70%,3,3-4,7–8,3–4 hours,3–4 days/week,Yes,3–5 hours,4,3,4,5,3,1,1,4,1,2,4,4,2,Career,Sometimes,4,3,Synthetic
7/8/2026 16:57:44,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,Agriculture,1st Year,Not Available Yet,1–2,71–80%,5,3-4,5–6,5–6 hours,Never,No,More than 8 hours,2,3,4,4,3,2,2,4,1,2,5,4,3,Unsure ,Often,5,3,Synthetic
7/8/2026 18:36:24,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,BSc CSIT,1st Year,3.0–3.49,3–4,Above 90%,4,1-2,5–6,5–6 hours,Never,Yes,More than 8 hours,4,3,2,4,3,3,3,3,2,3,3,3,3,Unsure about future after graduation,Sometimes,3,2,Synthetic
7/8/2026 21:23:13,"Yes, I agree to participate.",20-22,Male,Purbanchal University,Law(LLB),3rd Year,3.0–3.49,3–4,71–80%,3,3-4,7–8,1–2 hours,Never,Yes,3–5 hours,3,2,1,3,3,2,4,4,4,2,4,3,3,Maybe,Sometimes,3,4,Synthetic
7/8/2026 21:39:00,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BDS,5th Year,3.5–4.0,3–4,71–80%,1,5-6,7–8,1–2 hours,1–2 days/week,No,More than 8 hours,3,5,1,3,1,3,4,2,5,4,1,2,5,Assignment ,Never,3,5,Synthetic
7/8/2026 21:45:50,"Yes, I agree to participate.",Above 25,Female,Tribhuvan University,BSc CSIT,2nd Year,2.5–2.99,1–2,Below 60%,5,More than 6,7–8,3–4 hours,1–2 days/week,Yes,6–8 hours,5,3,4,5,5,2,2,4,1,1,5,5,2,Financial pressure because my family struggles to pay tuition,Often,4,4,Synthetic
7/8/2026 21:54:49,"Yes, I agree to participate.",23-25,Female,Kathmandu University,BSc Nursing,3rd Year,3.0–3.49,1–2,81–90%,4,3-4,7–8,More than 6 hours,3–4 days/week,No,6–8 hours,3,1,5,5,4,2,3,4,1,2,4,5,2,"Too many assignments and lab reports with the same deadline, financial pressure because my family struggles to pay tuition",Often,4,3,Synthetic
7/9/2026 2:50:10,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BSc Nursing,2nd Year,3.0–3.49,Less than 1,71–80%,2,1-2,7–8,3–4 hours,5–6 days/week,No,6–8 hours,3,4,2,2,2,4,4,2,3,5,2,2,4,Lack of practical classes and resources,Sometimes,4,5,Synthetic
7/9/2026 4:17:23,"Yes, I agree to participate.",20-22,Prefer not to say,Tribhuvan University,BCA,4th Year,3.0–3.49,1–2,71–80%,3,5-6,Less than 5,3–4 hours,1–2 days/week,No,6–8 hours,4,1,4,5,5,3,2,3,3,2,5,4,2,Not able to focus because of phone,Often,5,3,Synthetic
7/9/2026 5:15:03,"Yes, I agree to participate.",Above 25,Female,Pokhara University,BCA,4th Year,3.5–4.0,3–4,71–80%,1,3-4,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,3,5,3,3,2,5,5,3,4,3,1,3,4,"Career, jobs are very limited in Nepal",Rarely,4,4,Synthetic
7/9/2026 5:34:28,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BE/B.Tech,4th Year,3.0–3.49,1–2,81–90%,3,3-4,7–8,1–2 hours,1–2 days/week,Yes,6–8 hours,4,3,3,3,3,4,4,2,3,4,3,2,4,Job market is competitive and many seniors are still unemployed,Sometimes,5,3,Synthetic
7/9/2026 5:37:43,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,Less than 1,71–80%,5,5-6,5–6,5–6 hours,Never,No,6–8 hours,4,2,5,5,5,2,1,5,1,1,5,4,2,Time management,Sometimes,3,3,Synthetic
7/9/2026 5:43:03,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BE/B.Tech,2nd Year,3.5–4.0,5–6,60–70%,5,5-6,Less than 5,5–6 hours,Never,No,More than 8 hours,3,4,5,4,4,2,1,4,1,1,5,5,2,Lack of discipline and too much screen time,Very Often,4,4,Synthetic
7/9/2026 6:13:03,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,3–4,71–80%,3,3-4,Less than 5,1–2 hours,1–2 days/week,Yes,6–8 hours,3,1,3,3,3,4,3,2,3,3,4,3,4,"Deadlines, parents compare me with relatives and toppers",Sometimes,2,4,Synthetic
7/9/2026 6:26:10,"Yes, I agree to participate.",23-25,Female,Agriculture and Forestry University,Agriculture,4th Year,2.5–2.99,3–4,60–70%,5,1-2,Less than 5,More than 6 hours,1–2 days/week,Yes,More than 8 hours,5,3,4,5,4,2,2,4,1,1,5,5,2,Pressure to go abroad after graduation,Very Often,4,3,Synthetic
7/9/2026 6:50:33,"Yes, I agree to participate.",17-19,Female,Tribhuvan University,BIM,3rd Year,3.0–3.49,1–2,71–80%,3,1-2,7–8,1–2 hours,5–6 days/week,No,6–8 hours,1,2,3,2,1,3,2,2,3,4,2,2,5,Nothing much,Rarely,2,3,Synthetic
7/9/2026 7:32:17,"Yes, I agree to participate.",20-22,Female,Purbanchal University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,2,5-6,More than 8,1–2 hours,1–2 days/week,No,Less than 3 hours,2,4,2,1,1,3,4,2,5,4,1,1,4,Too many assignments and lab reports with the same deadline,Rarely,4,5,Synthetic
7/9/2026 12:22:17,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,Less than 1,81–90%,3,5-6,More than 8,1–2 hours,3–4 days/week,No,3–5 hours,2,3,1,1,1,4,4,1,4,5,2,1,3,Lack of practical classes and resources,Never,4,4,Synthetic
7/9/2026 13:13:46,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,1st Year,Not Available Yet,3–4,60–70%,4,3-4,Less than 5,1–2 hours,5–6 days/week,No,3–5 hours,3,2,5,5,4,2,2,5,2,1,4,4,2,Future career concerns because I am unsure about job opportunities,Sometimes,5,2,Synthetic
7/9/2026 16:17:49,"Yes, I agree to participate.",23-25,Female,Sudurpaschim University,BSc CSIT,2nd Year,3.5–4.0,1–2,71–80%,2,3-4,7–8,3–4 hours,3–4 days/week,Yes,More than 8 hours,4,3,3,2,1,4,3,3,4,4,2,2,3,Balancing money and education,Rarely,3,5,Synthetic
7/9/2026 16:53:14,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BSc CSIT,1st Year,Not Available Yet,5–6,Above 90%,2,5-6,More than 8,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,5,4,3,2,2,4,3,2,4,4,3,2,3,Project submission deadlines clashing with exams,Sometimes,3,4,Synthetic
7/9/2026 17:06:15,"Yes, I agree to participate.",Above 25,Male,Other,BDS,4th Year,3.5–4.0,5–6,71–80%,2,5-6,More than 8,3–4 hours,3–4 days/week,No,6–8 hours,1,3,2,2,1,5,4,1,4,5,1,2,4,Frequent internal exams and practicals,Never,4,4,Synthetic
7/9/2026 17:10:20,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,Agriculture,4th Year,2.5–2.99,1–2,60–70%,4,3-4,Less than 5,1–2 hours,1–2 days/week,Yes,6–8 hours,4,1,4,3,2,3,2,3,2,2,4,3,4,Too many assignments and lab reports with the same deadline,Often,4,3,Synthetic
7/9/2026 18:09:04,"Yes, I agree to participate.",23-25,Female,Pokhara University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,3,5-6,More than 8,More than 6 hours,1–2 days/week,Yes,More than 8 hours,4,2,4,4,3,3,2,3,2,2,3,3,2,"Pressure to go abroad after graduation, project submission deadlines clashing with exams",Often,2,3,Synthetic
7/9/2026 20:56:27,"Yes, I agree to participate.",20-22,Female,Pokhara University,BCA,1st Year,3.5–4.0,3–4,Above 90%,2,More than 6,5–6,Less than 1 hour,Daily,Yes,Less than 3 hours,4,3,1,2,1,5,5,2,3,4,2,1,3,"TU exam pattern, everything depends on final exam",Very Often,3,4,Synthetic
7/9/2026 22:08:55,"Yes, I agree to participate.",17-19,Female,Kathmandu University,MBBS,2nd Year,3.0–3.49,1–2,71–80%,3,5-6,More than 8,3–4 hours,Never,No,6–8 hours,3,4,2,1,3,3,3,2,3,4,2,3,4,Unsure ,Rarely,1,5,Synthetic
7/10/2026 2:13:36,"Yes, I agree to participate.",20-22,Male,Purbanchal University,BSc Nursing,2nd Year,3.5–4.0,5–6,81–90%,2,3-4,More than 8,5–6 hours,1–2 days/week,No,3–5 hours,1,3,3,3,1,4,4,3,5,3,3,1,4,Financial pressure ,Never,2,4,Synthetic
7/10/2026 2:26:47,"Yes, I agree to participate.",23-25,Female,Kathmandu University,MBBS,4th Year,2.0–2.49,3–4,60–70%,4,5-6,Less than 5,3–4 hours,Never,No,3–5 hours,2,4,4,2,3,3,2,4,3,4,3,4,3,Thesis and internship report,Often,3,3,Synthetic
7/10/2026 2:57:52,"Yes, I agree to participate.",20-22,Female,Agriculture and Forestry University,Agriculture,3rd Year,3.5–4.0,1–2,60–70%,4,3-4,Less than 5,More than 6 hours,3–4 days/week,Yes,More than 8 hours,5,4,3,5,4,2,2,4,1,3,4,3,1,Not able to focus because of phone,Sometimes,4,4,Synthetic
7/10/2026 3:59:33,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BCA,2nd Year,3.0–3.49,1–2,71–80%,2,1-2,5–6,3–4 hours,1–2 days/week,Yes,3–5 hours,3,3,3,2,4,3,4,2,3,4,2,2,4,Working part time and studying at the same time,Rarely,3,3,Synthetic
7/10/2026 5:11:59,"Yes, I agree to participate.",23-25,Female,Purbanchal University,BCA,3rd Year,3.0–3.49,1–2,81–90%,2,3-4,7–8,1–2 hours,1–2 days/week,No,6–8 hours,3,4,1,2,2,4,5,2,5,4,1,1,5,Maybe,Never,3,5,Synthetic
7/10/2026 6:32:52,"Yes, I agree to participate.",23-25,Female,Purbanchal University,BCA,3rd Year,3.5–4.0,Less than 1,71–80%,2,3-4,5–6,Less than 1 hour,5–6 days/week,Yes,3–5 hours,1,1,1,1,2,4,5,2,5,5,1,2,3,"Result delays and session delays in university, unsure about future after graduation",Never,1,4,Synthetic
7/10/2026 6:39:36,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BSc Nursing,2nd Year,3.0–3.49,1–2,71–80%,2,More than 6,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,1,4,1,1,2,5,3,2,5,3,1,2,4,"Exams, strict attendance requirement",Never,3,5,Synthetic
7/10/2026 9:01:49,"Yes, I agree to participate.",23-25,Male,Purbanchal University,BCA,4th Year,2.0–2.49,1–2,71–80%,5,5-6,5–6,3–4 hours,1–2 days/week,Yes,3–5 hours,4,3,5,5,5,2,1,4,2,1,5,4,3,Money,Often,5,3,Synthetic
7/10/2026 11:18:34,"Yes, I agree to participate.",20-22,Male,Sudurpaschim University,BCA,2nd Year,2.5–2.99,1–2,60–70%,4,More than 6,7–8,5–6 hours,1–2 days/week,No,More than 8 hours,3,2,4,4,3,2,3,4,2,3,3,1,4,Capstone projects.,Sometimes,4,3,Synthetic
7/10/2026 15:52:16,"Yes, I agree to participate.",23-25,Female,Kathmandu University,BSc Nursing,1st Year,2.0–2.49,3–4,60–70%,4,5-6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,2,2,3,3,3,2,2,4,1,3,4,5,3,Strict attendance requirement,Often,3,1,Synthetic
7/10/2026 16:11:52,"Yes, I agree to participate.",23-25,Prefer not to say,Purbanchal University,BE/B.Tech,4th Year,3.5–4.0,1–2,81–90%,3,5-6,Less than 5,3–4 hours,1–2 days/week,No,6–8 hours,3,2,3,3,3,2,4,3,3,3,2,3,3,Unfair grading in internal marks,Sometimes,2,5,Synthetic
7/10/2026 18:15:59,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,MBBS,3rd Year,2.0–2.49,3–4,60–70%,4,More than 6,7–8,3–4 hours,1–2 days/week,No,3–5 hours,3,2,4,4,4,2,3,5,3,1,4,4,1,Unsure about future after graduation,Very Often,5,3,Synthetic
7/10/2026 22:49:31,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BHM,2nd Year,3.5–4.0,5–6,Above 90%,2,3-4,7–8,Less than 1 hour,5–6 days/week,No,6–8 hours,2,5,1,2,2,5,4,1,5,4,1,2,5,"Balancing money and education, deadlines",Rarely,2,5,Synthetic
