age,gender,university,program,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,part_time_job,screen_time,financial_stress,social_support,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,stress_q6,stress_q7,stress_q8,stress_q9,stress_q10,academic_life_satisfaction,biggest_stress_reason,thought_break,career_stress,academic_performance,stress_q4_rev,stress_q5_rev,stress_q7_rev,stress_q8_rev,stress_score,stress_level
20-22,Male,Kathmandu University,BDS,2nd Year,2.5–2.99,5–6,60–70%,3,5-6,5–6,3–4 hours,Never,No,3–5 hours,3,3,4,4,4,2,3,4,3,3,4,4,2,Project submission deadlines clashing with exams,Rarely,5,2,4,3,3,3,37,High
23-25,Female,Other,BDS,4th Year,2.5–2.99,3–4,81–90%,3,5-6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,2,2,3,2,3,2,2,4,4,3,3,3,4,Assignments because multiple deadlines occur at the same time,Very Often,4,3,4,4,2,3,31,Moderate
23-25,Male,Tribhuvan University,BBS,3rd Year,3.0–3.49,3–4,81–90%,3,More than 6,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,4,4,3,3,4,3,2,3,3,4,3,3,Future career,Rarely,5,4,2,3,3,3,30,Moderate
20-22,Male,Sudurpaschim University,BBS,4th Year,2.5–2.99,Less than 1,60–70%,3,More than 6,Less than 5,1–2 hours,Never,Yes,3–5 hours,4,3,2,3,3,4,2,3,2,1,5,3,2,Assignments because multiple deadlines occur at the same time,Often,4,4,2,4,4,5,34,Moderate
23-25,Female,Tribhuvan University,BBS,4th Year,3.0–3.49,Less than 1,60–70%,2,5-6,7–8,1–2 hours,5–6 days/week,Yes,More than 8 hours,1,5,2,1,2,4,5,2,3,3,1,2,3,Pressure to go abroad after graduation,Rarely,2,4,2,1,3,3,19,Low
23-25,Female,Kathmandu University,MBBS,3rd Year,2.0–2.49,3–4,60–70%,4,3-4,5–6,5–6 hours,Never,No,More than 8 hours,3,3,4,4,5,2,1,5,3,2,5,3,2,Board exams,Very Often,4,2,4,5,3,4,42,High
20-22,Female,Other,BSc Nursing,2nd Year,3.5–4.0,More than 6 hours,81–90%,3,3-4,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,5,2,5,5,3,2,1,5,2,3,4,5,3,"Deadlines, family expectations to get good grades",Very Often,3,4,4,5,4,3,43,High
20-22,Male,Sudurpaschim University,BCA,4th Year,3.0–3.49,1–2,71–80%,4,3-4,7–8,Less than 1 hour,3–4 days/week,No,6–8 hours,2,3,4,4,5,2,3,5,1,1,4,4,1,Financial pressure because my family struggles to pay tuition,Sometimes,5,2,4,3,5,5,43,High
Above 25,Male,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,5–6,81–90%,3,3-4,5–6,3–4 hours,Never,Yes,3–5 hours,4,1,3,5,4,3,2,5,2,3,5,5,4,Procrastination,Often,3,3,3,4,4,3,41,High
23-25,Female,Tribhuvan University,MBBS,3rd Year,2.5–2.99,3–4,60–70%,4,1-2,5–6,3–4 hours,1–2 days/week,No,More than 8 hours,5,2,5,4,3,1,1,4,1,1,4,5,1,Deadlines,Very Often,4,3,5,5,5,5,45,High
23-25,Female,Other,BDS,4th Year,3.0–3.49,3–4,60–70%,4,More than 6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,1,5,3,4,4,2,4,2,1,4,5,3,Pressure to go abroad after graduation,Sometimes,4,4,2,4,4,5,40,High
20-22,Male,Tribhuvan University,BBS,3rd Year,3.5–4.0,5–6,60–70%,1,3-4,More than 8,5–6 hours,3–4 days/week,No,More than 8 hours,3,5,1,1,1,4,3,1,4,4,1,1,5,Frustration ,Rarely,3,5,2,3,2,2,15,Low
20-22,Male,Tribhuvan University,MBBS,1st Year,Not Available Yet,3–4,60–70%,4,5-6,5–6,3–4 hours,Never,Yes,6–8 hours,2,4,2,3,2,4,3,3,2,3,4,3,4,Money,Sometimes,3,3,2,3,4,3,29,Moderate
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,Not Available Yet,3–4,60–70%,3,3-4,7–8,3–4 hours,3–4 days/week,Yes,3–5 hours,4,3,4,5,3,1,1,4,1,2,4,4,2,Career,Sometimes,4,3,5,5,5,4,43,High
17-19,Male,Tribhuvan University,Agriculture,1st Year,Not Available Yet,1–2,71–80%,5,3-4,5–6,5–6 hours,Never,No,More than 8 hours,2,3,4,4,3,2,2,4,1,2,5,4,3,Unsure ,Often,5,3,4,4,5,4,41,High
17-19,Male,Tribhuvan University,BSc CSIT,1st Year,3.0–3.49,3–4,Above 90%,4,1-2,5–6,5–6 hours,Never,Yes,More than 8 hours,4,3,2,4,3,3,3,3,2,3,3,3,3,Unsure about future after graduation,Sometimes,3,2,3,3,4,3,31,Moderate
20-22,Male,Purbanchal University,Law(LLB),3rd Year,3.0–3.49,3–4,71–80%,3,3-4,7–8,1–2 hours,Never,Yes,3–5 hours,3,2,1,3,3,2,4,4,4,2,4,3,3,Maybe,Sometimes,3,4,4,2,2,4,30,Moderate
20-22,Female,Kathmandu University,BDS,5th Year,3.5–4.0,3–4,71–80%,1,5-6,7–8,1–2 hours,1–2 days/week,No,More than 8 hours,3,5,1,3,1,3,4,2,5,4,1,2,5,Assignment ,Never,3,5,3,2,1,2,18,Low
Above 25,Female,Tribhuvan University,BSc CSIT,2nd Year,2.5–2.99,1–2,Below 60%,5,More than 6,7–8,3–4 hours,1–2 days/week,Yes,6–8 hours,5,3,4,5,5,2,2,4,1,1,5,5,2,Financial pressure because my family struggles to pay tuition,Often,4,4,4,4,5,5,46,High
23-25,Female,Kathmandu University,BSc Nursing,3rd Year,3.0–3.49,1–2,81–90%,4,3-4,7–8,More than 6 hours,3–4 days/week,No,6–8 hours,3,1,5,5,4,2,3,4,1,2,4,5,2,"Too many assignments and lab reports with the same deadline, financial pressure because my family struggles to pay tuition",Often,4,3,4,3,5,4,43,High
20-22,Female,Tribhuvan University,BSc Nursing,2nd Year,3.0–3.49,Less than 1,71–80%,2,1-2,7–8,3–4 hours,5–6 days/week,No,6–8 hours,3,4,2,2,2,4,4,2,3,5,2,2,4,Lack of practical classes and resources,Sometimes,4,5,2,2,3,1,20,Low
20-22,Prefer not to say,Tribhuvan University,BCA,4th Year,3.0–3.49,1–2,71–80%,3,5-6,Less than 5,3–4 hours,1–2 days/week,No,6–8 hours,4,1,4,5,5,3,2,3,3,2,5,4,2,Not able to focus because of phone,Often,5,3,3,4,3,4,40,High
Above 25,Female,Pokhara University,BCA,4th Year,3.5–4.0,3–4,71–80%,1,3-4,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,3,5,3,3,2,5,5,3,4,3,1,3,4,"Career, jobs are very limited in Nepal",Rarely,4,4,1,1,2,3,22,Low
Above 25,Male,Tribhuvan University,BE/B.Tech,4th Year,3.0–3.49,1–2,81–90%,3,3-4,7–8,1–2 hours,1–2 days/week,Yes,6–8 hours,4,3,3,3,3,4,4,2,3,4,3,2,4,Job market is competitive and many seniors are still unemployed,Sometimes,5,3,2,2,3,2,25,Moderate
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,Less than 1,71–80%,5,5-6,5–6,5–6 hours,Never,No,6–8 hours,4,2,5,5,5,2,1,5,1,1,5,4,2,Time management,Sometimes,3,3,4,5,5,5,48,High
20-22,Male,Tribhuvan University,BE/B.Tech,2nd Year,3.5–4.0,5–6,60–70%,5,5-6,Less than 5,5–6 hours,Never,No,More than 8 hours,3,4,5,4,4,2,1,4,1,1,5,5,2,Lack of discipline and too much screen time,Very Often,4,4,4,5,5,5,46,High
Above 25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,3–4,71–80%,3,3-4,Less than 5,1–2 hours,1–2 days/week,Yes,6–8 hours,3,1,3,3,3,4,3,2,3,3,4,3,4,"Deadlines, parents compare me with relatives and toppers",Sometimes,2,4,2,3,3,3,29,Moderate
23-25,Female,Agriculture and Forestry University,Agriculture,4th Year,2.5–2.99,3–4,60–70%,5,1-2,Less than 5,More than 6 hours,1–2 days/week,Yes,More than 8 hours,5,3,4,5,4,2,2,4,1,1,5,5,2,Pressure to go abroad after graduation,Very Often,4,3,4,4,5,5,45,High
17-19,Female,Tribhuvan University,BIM,3rd Year,3.0–3.49,1–2,71–80%,3,1-2,7–8,1–2 hours,5–6 days/week,No,6–8 hours,1,2,3,2,1,3,2,2,3,4,2,2,5,Nothing much,Rarely,2,3,3,4,3,2,24,Low
20-22,Female,Purbanchal University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,2,5-6,More than 8,1–2 hours,1–2 days/week,No,Less than 3 hours,2,4,2,1,1,3,4,2,5,4,1,1,4,Too many assignments and lab reports with the same deadline,Rarely,4,5,3,2,1,2,16,Low
20-22,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,Less than 1,81–90%,3,5-6,More than 8,1–2 hours,3–4 days/week,No,3–5 hours,2,3,1,1,1,4,4,1,4,5,2,1,3,Lack of practical classes and resources,Never,4,4,2,2,2,1,14,Low
23-25,Female,Tribhuvan University,BCA,1st Year,Not Available Yet,3–4,60–70%,4,3-4,Less than 5,1–2 hours,5–6 days/week,No,3–5 hours,3,2,5,5,4,2,2,5,2,1,4,4,2,Future career concerns because I am unsure about job opportunities,Sometimes,5,2,4,4,4,5,44,High
23-25,Female,Sudurpaschim University,BSc CSIT,2nd Year,3.5–4.0,1–2,71–80%,2,3-4,7–8,3–4 hours,3–4 days/week,Yes,More than 8 hours,4,3,3,2,1,4,3,3,4,4,2,2,3,Balancing money and education,Rarely,3,5,2,3,2,2,22,Low
20-22,Female,Tribhuvan University,BSc CSIT,1st Year,Not Available Yet,5–6,Above 90%,2,5-6,More than 8,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,5,4,3,2,2,4,3,2,4,4,3,2,3,Project submission deadlines clashing with exams,Sometimes,3,4,2,3,2,2,23,Low
Above 25,Male,Other,BDS,4th Year,3.5–4.0,5–6,71–80%,2,5-6,More than 8,3–4 hours,3–4 days/week,No,6–8 hours,1,3,2,2,1,5,4,1,4,5,1,2,4,Frequent internal exams and practicals,Never,4,4,1,2,2,1,15,Low
20-22,Male,Tribhuvan University,Agriculture,4th Year,2.5–2.99,1–2,60–70%,4,3-4,Less than 5,1–2 hours,1–2 days/week,Yes,6–8 hours,4,1,4,3,2,3,2,3,2,2,4,3,4,Too many assignments and lab reports with the same deadline,Often,4,3,3,4,4,4,34,Moderate
23-25,Female,Pokhara University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,3,5-6,More than 8,More than 6 hours,1–2 days/week,Yes,More than 8 hours,4,2,4,4,3,3,2,3,2,2,3,3,2,"Pressure to go abroad after graduation, project submission deadlines clashing with exams",Often,2,3,3,4,4,4,35,Moderate
20-22,Female,Pokhara University,BCA,1st Year,3.5–4.0,3–4,Above 90%,2,More than 6,5–6,Less than 1 hour,Daily,Yes,Less than 3 hours,4,3,1,2,1,5,5,2,3,4,2,1,3,"TU exam pattern, everything depends on final exam",Very Often,3,4,1,1,3,2,16,Low
17-19,Female,Kathmandu University,MBBS,2nd Year,3.0–3.49,1–2,71–80%,3,5-6,More than 8,3–4 hours,Never,No,6–8 hours,3,4,2,1,3,3,3,2,3,4,2,3,4,Unsure ,Rarely,1,5,3,3,3,2,24,Low
20-22,Male,Purbanchal University,BSc Nursing,2nd Year,3.5–4.0,5–6,81–90%,2,3-4,More than 8,5–6 hours,1–2 days/week,No,3–5 hours,1,3,3,3,1,4,4,3,5,3,3,1,4,Financial pressure ,Never,2,4,2,2,1,3,22,Low
23-25,Female,Kathmandu University,MBBS,4th Year,2.0–2.49,3–4,60–70%,4,5-6,Less than 5,3–4 hours,Never,No,3–5 hours,2,4,4,2,3,3,2,4,3,4,3,4,3,Thesis and internship report,Often,3,3,3,4,3,2,32,Moderate
20-22,Female,Agriculture and Forestry University,Agriculture,3rd Year,3.5–4.0,1–2,60–70%,4,3-4,Less than 5,More than 6 hours,3–4 days/week,Yes,More than 8 hours,5,4,3,5,4,2,2,4,1,3,4,3,1,Not able to focus because of phone,Sometimes,4,4,4,4,5,3,39,High
20-22,Female,Tribhuvan University,BCA,2nd Year,3.0–3.49,1–2,71–80%,2,1-2,5–6,3–4 hours,1–2 days/week,Yes,3–5 hours,3,3,3,2,4,3,4,2,3,4,2,2,4,Working part time and studying at the same time,Rarely,3,3,3,2,3,2,25,Moderate
23-25,Female,Purbanchal University,BCA,3rd Year,3.0–3.49,1–2,81–90%,2,3-4,7–8,1–2 hours,1–2 days/week,No,6–8 hours,3,4,1,2,2,4,5,2,5,4,1,1,5,Maybe,Never,3,5,2,1,1,2,15,Low
23-25,Female,Purbanchal University,BCA,3rd Year,3.5–4.0,Less than 1,71–80%,2,3-4,5–6,Less than 1 hour,5–6 days/week,Yes,3–5 hours,1,1,1,1,2,4,5,2,5,5,1,2,3,"Result delays and session delays in university, unsure about future after graduation",Never,1,4,2,1,1,1,14,Low
20-22,Female,Tribhuvan University,BSc Nursing,2nd Year,3.0–3.49,1–2,71–80%,2,More than 6,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,1,4,1,1,2,5,3,2,5,3,1,2,4,"Exams, strict attendance requirement",Never,3,5,1,3,1,3,17,Low
23-25,Male,Purbanchal University,BCA,4th Year,2.0–2.49,1–2,71–80%,5,5-6,5–6,3–4 hours,1–2 days/week,Yes,3–5 hours,4,3,5,5,5,2,1,4,2,1,5,4,3,Money,Often,5,3,4,5,4,5,46,High
20-22,Male,Sudurpaschim University,BCA,2nd Year,2.5–2.99,1–2,60–70%,4,More than 6,7–8,5–6 hours,1–2 days/week,No,More than 8 hours,3,2,4,4,3,2,3,4,2,3,3,1,4,Capstone projects.,Sometimes,4,3,4,3,4,3,33,Moderate
23-25,Female,Kathmandu University,BSc Nursing,1st Year,2.0–2.49,3–4,60–70%,4,5-6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,2,2,3,3,3,2,2,4,1,3,4,5,3,Strict attendance requirement,Often,3,1,4,4,5,3,38,High
23-25,Prefer not to say,Purbanchal University,BE/B.Tech,4th Year,3.5–4.0,1–2,81–90%,3,5-6,Less than 5,3–4 hours,1–2 days/week,No,6–8 hours,3,2,3,3,3,2,4,3,3,3,2,3,3,Unfair grading in internal marks,Sometimes,2,5,4,2,3,3,29,Moderate
23-25,Female,Tribhuvan University,MBBS,3rd Year,2.0–2.49,3–4,60–70%,4,More than 6,7–8,3–4 hours,1–2 days/week,No,3–5 hours,3,2,4,4,4,2,3,5,3,1,4,4,1,Unsure about future after graduation,Very Often,5,3,4,3,3,5,40,High
23-25,Male,Tribhuvan University,BHM,2nd Year,3.5–4.0,5–6,Above 90%,2,3-4,7–8,Less than 1 hour,5–6 days/week,No,6–8 hours,2,5,1,2,2,5,4,1,5,4,1,2,5,"Balancing money and education, deadlines",Rarely,2,5,1,2,1,2,15,Low
23-25,Female,Tribhuvan University,BHM,4th Year,2.0–2.49,5–6,81–90%,3,5-6,More than 8,More than 6 hours,3–4 days/week,Yes,More than 8 hours,4,2,4,3,4,2,2,5,1,2,3,4,1,Project submission deadlines clashing with exams,Often,5,3,4,4,5,4,40,High
20-22,Female,Rajarshi Janak University,BCA,2nd Year,3.5–4.0,5–6,Above 90%,1,More than 6,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,3,3,1,3,2,5,5,1,5,4,1,2,4,Lack of practical classes and resources,Rarely,3,4,1,1,1,2,15,Low
23-25,Female,Rajarshi Janak University,BBS,4th Year,Not Available Yet,Less than 1,60–70%,3,1-2,5–6,3–4 hours,Never,Yes,6–8 hours,4,3,3,3,3,5,3,4,5,4,2,3,3,Job ,Sometimes,4,3,1,3,1,2,25,Moderate
23-25,Female,Tribhuvan University,BSc CSIT,4th Year,2.0–2.49,3–4,60–70%,5,More than 6,7–8,5–6 hours,5–6 days/week,No,More than 8 hours,3,3,5,3,4,2,2,4,2,2,5,5,3,Financial ,Often,4,2,4,4,4,4,42,High
20-22,Male,Agriculture and Forestry University,Agriculture,4th Year,3.5–4.0,3–4,Above 90%,3,5-6,5–6,1–2 hours,3–4 days/week,Yes,6–8 hours,4,3,3,3,3,4,4,3,3,1,2,2,4,Too many assignments and lab reports with the same deadline,Sometimes,5,5,2,2,3,5,28,Moderate
20-22,Male,Kathmandu University,BE/B.Tech,3rd Year,3.0–3.49,Less than 1,71–80%,3,5-6,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,3,3,3,3,4,2,2,3,2,4,3,3,3,Procrastination,Very Often,2,4,4,4,4,2,33,Moderate
20-22,Female,Tribhuvan University,Agriculture,2nd Year,3.5–4.0,1–2,81–90%,1,3-4,Less than 5,3–4 hours,3–4 days/week,Yes,More than 8 hours,2,5,2,2,1,4,5,2,4,5,2,1,4,Too many assignments and lab reports with the same deadline,Rarely,4,5,2,1,2,1,16,Low
17-19,Prefer not to say,Sudurpaschim University,BCA,2nd Year,2.0–2.49,3–4,60–70%,4,3-4,Less than 5,More than 6 hours,1–2 days/week,No,More than 8 hours,4,3,5,4,4,2,1,4,1,2,5,4,3,Lack of discipline and too much screen time,Sometimes,4,3,4,5,5,4,44,High
Above 25,Male,Sudurpaschim University,BCA,3rd Year,2.0–2.49,Less than 1,60–70%,4,3-4,5–6,5–6 hours,1–2 days/week,No,More than 8 hours,4,5,4,5,4,2,3,3,2,2,4,4,2,Assignments because multiple deadlines occur at the same time,Very Often,4,1,4,3,4,4,39,High
23-25,Male,Kathmandu University,BDS,5th Year,3.5–4.0,3–4,Above 90%,1,More than 6,5–6,3–4 hours,Never,No,6–8 hours,2,3,1,1,1,4,4,2,3,5,2,1,4,Future ,Rarely,2,4,2,2,3,1,16,Low
23-25,Male,Sudurpaschim University,BSc CSIT,3rd Year,2.0–2.49,Less than 1,60–70%,4,3-4,5–6,5–6 hours,1–2 days/week,No,6–8 hours,4,3,5,5,5,1,1,5,1,1,5,5,1,Project submission deadlines clashing with exams,Very Often,5,2,5,5,5,5,50,High
17-19,Female,Tribhuvan University,BCA,2nd Year,2.5–2.99,1–2,71–80%,1,3-4,More than 8,Less than 1 hour,3–4 days/week,No,3–5 hours,3,4,3,2,2,3,3,2,5,5,1,2,4,Assignment ,Never,4,4,3,3,1,1,20,Low
23-25,Male,Purbanchal University,BE/B.Tech,3rd Year,Below 2.0,1–2,Below 60%,4,More than 6,7–8,3–4 hours,1–2 days/week,No,6–8 hours,4,2,4,4,3,2,2,3,3,1,5,5,1,"Career, jobs are very limited in Nepal",Often,5,2,4,4,3,5,40,High
20-22,Female,Kathmandu University,BE/B.Tech,4th Year,3.0–3.49,3–4,71–80%,3,3-4,5–6,1–2 hours,3–4 days/week,Yes,6–8 hours,4,3,3,3,2,2,3,4,3,4,2,4,5,Not able to focus because of phone,Rarely,5,3,4,3,3,2,30,Moderate
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,1–2,60–70%,2,3-4,7–8,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,4,4,1,1,2,4,5,2,3,4,2,3,3,Outdated syllabus and theory heavy teaching,Rarely,2,4,2,1,3,2,19,Low
20-22,Female,Tribhuvan University,Agriculture,2nd Year,3.0–3.49,3–4,71–80%,2,3-4,More than 8,Less than 1 hour,3–4 days/week,Yes,6–8 hours,2,4,2,1,1,4,5,2,4,4,3,2,5,Unsure ,Never,5,5,2,1,2,2,18,Low
Above 25,Male,Tribhuvan University,BCA,4th Year,2.5–2.99,1–2,60–70%,4,More than 6,5–6,3–4 hours,Daily,No,6–8 hours,5,1,3,4,4,3,3,4,3,3,3,3,2,Lack of practical classes and resources,Sometimes,3,4,3,3,3,3,33,Moderate
23-25,Female,Tribhuvan University,BE/B.Tech,4th Year,3.5–4.0,3–4,71–80%,5,3-4,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,4,2,5,5,5,1,1,5,2,1,5,4,2,Result delays and session delays in university,Very Often,5,4,5,5,4,5,48,High
